chrom	size	intra	inter	intra_per_Mb	inter_per_Mb	ratio_inter_intra	species
scaffold_6	31961926	45449	648052	1421.9731	20275.7493	14.2589	Egorge
scaffold_7	27292286	31599	507389	1157.7997	18590.9308	16.0571	Egorge
scaffold_8	20333018	18915	423396	930.2603	20823.077	22.3841	Egorge
scaffold_9	20011755	18336	439103	916.2615	21942.2534	23.9476	Egorge
scaffold_1	22722498	22390	26130	985.367	1149.9616	1.167	Eligea
scaffold_10	19308094	15912	20527	824.1103	1063.1293	1.29	Eligea
scaffold_11	19222650	15900	20498	827.1492	1066.3462	1.2892	Eligea
scaffold_12	19149538	15737	22183	821.7953	1158.4091	1.4096	Eligea
scaffold_13	18887656	15021	21355	795.2813	1130.6326	1.4217	Eligea
scaffold_14	18503831	15026	21662	812.0481	1170.6765	1.4416	Eligea
scaffold_15	18360966	14663	23174	798.5963	1262.134	1.5804	Eligea
scaffold_16	17538717	13032	19458	743.0418	1109.4312	1.4931	Eligea
scaffold_17	17224156	12857	20569	746.4517	1194.1949	1.5998	Eligea
scaffold_18	16815826	12397	18859	737.2222	1121.503	1.5213	Eligea
scaffold_19	16815746	12358	20243	734.9064	1203.8122	1.638	Eligea
scaffold_2	22111991	20566	25438	930.0836	1150.4165	1.2369	Eligea
scaffold_20	16643629	12233	19961	734.996	1199.3178	1.6317	Eligea
scaffold_21	15512777	10439	19449	672.9292	1253.7407	1.8631	Eligea
scaffold_22	15261769	10004	20629	655.4941	1351.6782	2.0621	Eligea
scaffold_23	12471568	6555	16948	525.5955	1358.931	2.5855	Eligea
scaffold_24	12368103	4090	9427	330.6894	762.2026	2.3049	Eligea
scaffold_25	11938575	6216	15898	520.6652	1331.6497	2.5576	Eligea
scaffold_26	10276669	4560	15068	443.7235	1466.2339	3.3044	Eligea
scaffold_27	9222146	3655	13050	396.3286	1415.0719	3.5705	Eligea
scaffold_28	8136713	1770	8975	217.5326	1103.0253	5.0706	Eligea
scaffold_3	22009152	19439	20806	883.2235	945.334	1.0703	Eligea
scaffold_4	21419478	20029	26839	935.0835	1253.0184	1.34	Eligea
scaffold_5	20971809	18861	23153	899.3502	1104.0059	1.2276	Eligea
scaffold_6	20769560	18481	20794	889.8118	1001.1767	1.1252	Eligea
scaffold_7	20520507	18081	21609	881.1186	1053.0442	1.1951	Eligea
scaffold_8	20105321	16630	21192	827.1442	1054.0493	1.2743	Eligea
scaffold_9	20064828	17337	23722	864.0493	1182.2678	1.3683	Eligea
scaffold_1	22987716	23871	742823	1038.4242	32313.9106	31.1182	Emanto
scaffold_10	19346989	17020	629968	879.7235	32561.5526	37.0134	Emanto
scaffold_11	18983355	16290	617374	858.1202	32521.8593	37.899	Emanto
scaffold_12	18696045	15753	616050	842.5846	32950.8193	39.1068	Emanto
scaffold_13	18594484	15753	621973	847.1867	33449.3283	39.4828	Emanto
scaffold_14	18529153	15931	624281	859.7803	33691.8261	39.1866	Emanto
scaffold_15	18415714	15753	621854	855.4108	33767.5748	39.4753	Emanto
scaffold_16	17580000	14196	583298	807.5085	33179.6359	41.0889	Emanto
scaffold_17	17346501	13695	578651	789.4964	33358.3701	42.2527	Emanto
scaffold_18	17189678	13203	571028	768.0772	33219.2377	43.2499	Emanto
scaffold_19	17073414	13203	567040	773.3076	33211.8696	42.9478	Emanto
scaffold_2	22018614	22155	711809	1006.1941	32327.6025	32.1286	Emanto
scaffold_20	17013477	13203	563392	776.0318	33114.4539	42.6715	Emanto
scaffold_21	15991637	11628	522039	727.1301	32644.5004	44.895	Emanto
scaffold_22	15524920	10731	520984	691.2113	33557.9185	48.5494	Emanto
scaffold_23	13029701	6105	350274	468.5449	26882.7351	57.3749	Emanto
scaffold_24	12640756	7140	435984	564.8396	34490.3422	61.0622	Emanto
scaffold_25	12278402	6903	427494	562.2067	34816.7457	61.9287	Emanto
scaffold_26	10827013	5253	378634	485.1754	34971.2335	72.0796	Emanto
scaffold_27	9797470	3828	326176	390.7131	33291.86	85.2079	Emanto
scaffold_28	9788017	2926	255583	298.937	26111.8263	87.3489	Emanto
scaffold_3	21930229	21945	714749	1000.6735	32591.9533	32.57	Emanto
scaffold_4	21799136	20503	705329	940.5419	32355.8236	34.4013	Emanto
scaffold_5	21334950	21115	721539	989.6906	33819.5777	34.1719	Emanto
scaffold_6	20927468	19900	681382	950.9034	32559.2183	34.2403	Emanto
scaffold_7	20207998	18721	677057	926.4154	33504.4075	36.1656	Emanto
scaffold_8	20166539	18915	667081	937.9398	33078.6061	35.2673	Emanto
scaffold_9	19645308	17578	646720	894.7684	32919.8198	36.7914	Emanto
scaffold_1	67893953	209217	1869083	3081.5263	27529.4473	8.9337	Emedusa
scaffold_10	28841450	37950	895331	1315.8146	31043.2034	23.5924	Emedusa
scaffold_2	57786388	152928	1653572	2646.4364	28615.2511	10.8127	Emedusa
scaffold_3	45008143	87952	1291798	1954.1353	28701.4285	14.6875	Emedusa
scaffold_4	44890541	83112	1229051	1851.4368	27378.8413	14.7879	Emedusa
scaffold_5	38500511	67520	1164172	1753.743	30237.8324	17.2419	Emedusa
scaffold_6	35859892	57970	1088963	1616.5693	30367.1578	18.7849	Emedusa
scaffold_7	35842847	52324	1019700	1459.8171	28449.191	19.4882	Emedusa
scaffold_8	35392068	56280	1071796	1590.1868	30283.5087	19.044	Emedusa
scaffold_9	34437030	53955	1049068	1566.7727	30463.3704	19.4434	Emedusa
scaffold_1	35554685	57627	725281	1620.7991	20399.0276	12.5858	Emelampus
scaffold_10	20054411	18528	463552	923.8865	23114.7153	25.019	Emelampus
scaffold_11	19774127	17955	462018	908.0047	23364.7736	25.732	Emelampus
