TEtype	C0001	C0055	C0080	C0100	Eaethiops	Ealbergana	Ebubastis	Echristi	Edisa	Eembla	Eepiphron	Eeriphyle	Eflavofasciata	Egorge	Eligea	Emanto	Emedusa	Emelampus	Emelancholica	Emeolans	Emnestra	Emontana	Epalarica	Epharte	Epronoe	Erondoui	Estirius	Esudetica	Etriaria	Mcinxia	Mjurtina	X2575	X2576	X3252	X3258	X3311	X3506	X3531	X3737
DNA.Maverick	NA	NA	4.74e-4	2.38e-4	0.005568	NA	1.77e-4	NA	7.98e-4	NA	NA	NA	NA	4.33e-4	NA	2.52e-4	0.001005	2.99e-4	6.29e-4	NA	NA	1.77e-4	0.001429	NA	0.001441	0.001036	4.8e-4	NA	NA	NA	NA	NA	0.001334	NA	9.85e-4	NA	5.13e-4	NA	0.001009
DNA.TcMar-Tigger	NA	NA	6.32e-4	2.38e-4	6.72e-4	NA	2.16e-4	2.95e-4	5.32e-4	NA	8.55e-4	5.7e-4	5.55e-4	4.33e-4	NA	3.37e-4	2.27e-4	2.99e-4	6.29e-4	2.89e-4	3.09e-4	1.99e-4	NA	0.002491	0.001441	9.16e-4	3.2e-4	4.46e-4	6.53e-4	NA	NA	0.001521	0.001067	0.001019	NA	NA	NA	NA	NA
DNA.Crypton-I	NA	NA	NA	5.55e-4	6.72e-4	NA	NA	NA	5.32e-4	0.001157	8.55e-4	NA	NA	4.33e-4	NA	2.52e-4	3.03e-4	2.99e-4	6.29e-4	2.89e-4	3.09e-4	NA	NA	0.001245	0.001441	NA	NA	NA	NA	NA	NA	NA	0.002134	NA	NA	0.001511	5.13e-4	NA	NA
DNA.Kolobok-E	NA	NA	NA	2.38e-4	6.72e-4	0.001337	1.77e-4	NA	NA	0.001929	8.55e-4	NA	NA	NA	NA	NA	NA	NA	0.001887	NA	NA	NA	NA	NA	NA	NA	NA	2.98e-4	NA	NA	NA	NA	0.002134	NA	NA	NA	NA	NA	NA
DNA.PIF-Spy	NA	NA	NA	2.38e-4	6.72e-4	NA	1.77e-4	2.95e-4	0.001064	0.001157	0.00154	NA	5.55e-4	5.57e-4	NA	3.79e-4	2.55e-4	2.99e-4	6.29e-4	NA	NA	4.6e-4	0.001327	0.009548	0.001441	NA	6.39e-4	3.31e-4	6.53e-4	NA	NA	NA	NA	0.001019	NA	NA	5.13e-4	NA	NA
DNA.hAT	NA	NA	NA	NA	0.001008	NA	5.9e-4	0.001003	NA	0.001157	0.001711	NA	NA	NA	NA	NA	2.27e-4	NA	6.29e-4	NA	NA	4.6e-4	NA	NA	0.002017	7.77e-4	NA	2.98e-4	NA	0.001903	7.67e-4	0.002028	0.002134	NA	NA	NA	NA	NA	NA
DNA.Zator	NA	NA	NA	NA	NA	NA	NA	NA	5.32e-4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001122	NA	NA	NA	NA	NA	NA	NA	NA	NA
DNA.MULE-MuDR	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001157	NA	NA	5.55e-4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.18e-4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DNA.PIF-ISL2EU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001544	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DNA.TcMar-Pogo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.08e-4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001019	NA	NA	NA	NA	NA
DNA.hAT-hATx	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.31e-4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DNA.Sola-2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001305	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LINE.R2-Hero	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001122	NA	NA	NA	NA	NA	NA	NA	NA	NA
PLE.Naiad	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.002245	NA	NA	NA	NA	NA	NA	NA	NA	NA
DNA.CMC-Chapaev-3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001535	NA	NA	NA	NA	NA	NA	NA	NA
