TEtype	C0001	C0055	C0080	C0100	Eaethiops	Ealbergana	Ebubastis	Echristi	Edisa	Eembla	Eepiphron	Eeriphyle	Eflavofasciata	Egorge	Eligea	Emanto	Emedusa	Emelampus	Emelancholica	Emeolans	Emnestra	Emontana	Epalarica	Epharte	Epronoe	Erondoui	Estirius	Esudetica	Etriaria	Mcinxia	Mjurtina	X2575	X2576	X3252	X3258	X3311	X3506	X3531	X3737
PLE.Chlamys	NA	NA	NA	NA	NA	NA	NA	NA	5.32e-4	0.001389	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.008804	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DNA.MULE-MuDR	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001157	NA	NA	5.55e-4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.18e-4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LINE.L1-Tx1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.52e-4	NA	8.98e-4	6.29e-4	NA	3.09e-4	1.77e-4	NA	0.011208	NA	NA	5.59e-4	2.98e-4	NA	0.001459	3.14e-4	NA	NA	NA	NA	NA	0.002053	NA	NA
DNA.PIF-ISL2EU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001544	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DNA.TcMar-Pogo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.08e-4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001019	NA	NA	NA	NA	NA
DNA.hAT-hATx	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.31e-4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DNA.Sola-2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001305	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LINE.R2-Hero	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001122	NA	NA	NA	NA	NA	NA	NA	NA	NA
PLE.Naiad	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.002245	NA	NA	NA	NA	NA	NA	NA	NA	NA
DNA.CMC-Chapaev-3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.001535	NA	NA	NA	NA	NA	NA	NA	NA
