repeat_type	C0001	C0055	C0080	C0100	Eaethiops	Ealbergana	Ebubastis	Echristi	Edisa	Eembla	Eepiphron	Eeriphyle	Eflavofasciata	Egorge	Egorge_hap1	Eligea	Emanto	Emedusa	Emelampus	Emelancholica	Emeolans	Emnestra	Emontana	Epalarica	Epharte	Epronoe	Erondoui	Estirius	Estirius_hap1	Esudetica	Etriaria	Mcinxia	Mjurtina	X2575	X2576	X3252	X3258	X3311	X3506	X3531	X3737
DNA.TcMar	263.54	229.00	99.00	98.08	61.40	116.60	152.14	129.78	198.83	101.40	286.62	150.83	213.41	91.86	91.86	77.75	230.00	103.38	93.50	102.70	92.50	449.10	65.50	230.75	314.18	143.00	97.83	108.50	108.50	75.50	100.00	104.44	110.00	127.54	198.17	87.50	122.71	137.57	86.60	78.45	82.95
DNA.TcMar-Fot1	177.44	362.07	265.71	235.12	172.25	198.02	252.40	192.84	197.60	188.79	205.35	173.97	193.96	186.26	186.26	158.60	176.79	231.99	205.93	158.14	168.98	173.52	178.36	173.39	230.06	167.94	320.70	184.86	184.86	221.87	254.75	271.00	282.24	131.45	146.36	232.05	273.05	238.07	225.05	240.61	253.13
DNA.TcMar-m44	300.97	323.11	462.55	541.45	222.47	180.09	307.18	445.17	572.03	394.64	261.51	208.84	350.59	275.40	275.40	227.75	428.59	237.20	288.01	304.18	689.68	478.16	459.90	547.50	461.08	476.86	313.00	401.82	401.82	361.61	419.89	163.42	370.26	356.68	337.19	442.59	333.77	645.03	283.76	379.49	606.80
DNA.TcMar-Mariner	190.64	181.48	178.88	170.36	147.24	143.08	161.54	198.61	177.01	183.30	166.71	146.55	177.06	203.89	203.89	149.54	142.18	165.88	154.91	191.63	163.28	142.97	232.39	168.09	198.43	214.24	269.96	205.81	205.81	152.54	320.82	120.51	103.32	143.41	161.30	199.19	189.68	167.02	236.41	189.37	176.90
DNA.TcMar-Pogo	154.40	213.89	214.08	321.00	174.07	191.00	206.74	168.19	309.29	272.99	163.76	193.68	167.86	223.85	223.85	218.68	216.78	304.50	193.35	161.71	184.28	189.31	162.32	202.44	173.71	176.08	183.45	162.40	162.40	187.23	256.21	141.03	261.00	251.23	229.19	250.93	210.11	172.56	157.52	191.00	192.86
DNA.TcMar-Tc1	539.86	848.10	426.77	368.96	225.28	276.35	208.86	383.93	559.34	446.27	251.01	411.13	537.83	239.95	239.95	293.53	240.40	320.89	295.32	203.16	176.73	222.44	218.42	172.02	255.73	186.00	298.40	192.35	192.35	304.70	256.95	220.31	206.09	297.50	214.67	225.56	602.59	395.20	192.72	423.48	398.90
DNA.TcMar-Tc2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	63.00	NA	NA	85.00	46.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DNA.TcMar-Tc4	NA	47.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	62.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	78.00	NA	NA	NA	NA	NA	NA	NA
DNA.TcMar-Tigger	163.79	169.34	169.64	171.86	166.98	153.97	158.66	159.66	146.96	130.94	155.36	167.12	160.76	160.85	160.85	160.69	160.93	155.25	161.25	154.81	161.01	157.37	155.87	161.52	159.26	166.03	166.12	148.92	148.92	161.62	163.44	97.10	186.40	182.03	286.88	158.86	168.57	157.20	156.62	163.71	170.53
DNA.Zator	70.43	64.07	66.07	70.58	71.72	69.93	68.71	70.47	76.02	76.45	66.84	63.76	70.31	71.25	71.25	83.38	72.60	74.08	71.82	69.76	63.95	117.17	70.89	69.74	69.06	69.43	65.03	70.93	70.93	71.38	69.61	99.42	80.72	82.16	95.62	70.31	71.28	75.82	70.07	63.14	63.76
