species	chrom	avg_slope_loglog
C0100	scaffold_12	-0.30341934268868986
C0100	scaffold_13	-0.2515035727974055
C0100	scaffold_14	-0.35081100376866386
C0100	scaffold_15	0.0896420294965984
C0100	scaffold_16	-0.2420138792376443
C0100	scaffold_17	-0.3266174217124712
C0100	scaffold_18	-0.2392011621958016
C0100	scaffold_19	-0.15639192043787295
C0100	scaffold_2	-0.6342063367195604
C0100	scaffold_20	-0.14139213507868148
C0100	scaffold_21	-0.3413679426621758
C0100	scaffold_22	-0.36440171984741987
C0100	scaffold_23	-0.3403873362904961
C0100	scaffold_24	-0.41349733443696735
C0100	scaffold_25	-0.08591243799708875
C0100	scaffold_26	-0.21008050928811253
C0100	scaffold_27	-0.38925263461702947
C0100	scaffold_28	-0.3369022568531906
C0100	scaffold_29	-0.4403823645985208
C0100	scaffold_3	-0.47443963273366624
C0100	scaffold_30	-0.30229317086273455
C0100	scaffold_31	-1.0604289559585511
C0100	scaffold_32	-0.616263564710336
C0100	scaffold_33	-0.12500849132787709
C0100	scaffold_34	-0.14959027517637505
C0100	scaffold_35	-0.48978439512322397
C0100	scaffold_36	-0.3258517516792684
C0100	scaffold_37	-0.16044447753794033
C0100	scaffold_38	-0.4188519936677494
C0100	scaffold_39	-0.18486135641199783
C0100	scaffold_4	-0.48622379849300273
C0100	scaffold_40	-0.3268960583379386
C0100	scaffold_41	-0.525042832820309
C0100	scaffold_42	-0.23698011795257232
C0100	scaffold_43	-0.3386878054266418
C0100	scaffold_44	-0.24656007421745768
C0100	scaffold_45	-0.33014238304937005
C0100	scaffold_46	-0.27894739344087277
C0100	scaffold_47	-0.3818156629023407
C0100	scaffold_48	-0.22225601317237642
C0100	scaffold_49	-0.28657185358073095
C0100	scaffold_5	-0.43106947770469023
C0100	scaffold_50	-0.22823595394443927
C0100	scaffold_51	0.056411366292918576
C0100	scaffold_52	-3.116248230625761
C0100	scaffold_6	-0.5699160768748207
C0100	scaffold_7	-0.3820344506245822
C0100	scaffold_8	-0.44162301171874113
C0100	scaffold_9	-0.4475207558148928
X2575	scaffold_1	-0.6053908042250288
X2575	scaffold_10	-0.5552241295389989
X2575	scaffold_11	-0.5412586357798354
X2575	scaffold_12	-0.5143364086590406
X2575	scaffold_13	-0.4986991413311785
X2575	scaffold_14	-0.44252731096366743
X2575	scaffold_15	-0.4876167119395454
X2575	scaffold_16	-0.46956028663985766
X2575	scaffold_17	-0.5584158456241626
X2575	scaffold_18	-0.387557950844824
X2575	scaffold_19	-0.4277190866195557
